l2_total_cut,l2_total_all,iterations,n_full_cells,n_cut_cells,l2_total_full,residual,ratio,angle_deg
0.0010696533146003677,0.058406467540476466,4,2331,252,0.05839667192865785,1.7332134172320934e-8,0.018317025256287613,0
0.014674694236567096,0.048298274503439174,20,2290,274,0.04601496136120108,2.69577867584303e-7,0.3189113671393955,5
0.014488034407952367,0.04454046552700482,7,2312,296,0.042118284964564885,4.0459053707309067e-7,0.34398443384248656,10
0.013827525039483266,0.03916500361297047,7,2346,320,0.03664283093985032,2.2870517568662763e-7,0.3773596276494392,15
0.014268797085840628,0.03685223055748067,100,2399,343,0.03397776223921786,46.02167715581436,0.41994516841286494,20
0.014537733061559631,0.03778258534494902,6,2487,369,0.03487374474843779,4.200946932542138e-7,0.41686756516765716,25
0.01678401357973768,0.04231090528865233,6,2594,397,0.03883953648668443,6.083137122914195e-7,0.4321373295866142,30
0.018559488221501386,0.049671922208257925,100,2734,407,0.04607434484416659,141.61870554094565,0.4028161069739265,35
0.020737939176892796,0.05878746823066491,100,2823,397,0.055008220291761195,421.9744371340327,0.3769970936507248,40
0.015116398403018433,0.06845980141233127,100,2938,392,0.06677004499576931,35.43087497906944,0.22639491113082577,45
