Iteration,GMRES + IChol(2),GMRES + ILU(0.01),GMRES (No Precond),GMRES + ILU0,GMRES + AMG(RS),GMRES + Diagonal,GMRES + AMG(SA)
1,6.865139645137713,6.232542588319713,0.10210387428038034,0.836447253914558,8.483797753633036,6.232542588319713,8.5025431761287
2,0.12809617085821545,1.1350071704740599,0.05252056315473205,0.019652042650166648,8.404841432750965,1.1350071704740599,8.417659170240126
3,0.004949170618411437,0.25830644006768927,0.031243360684282056,0.00046854036729602973,2.391180935188052,0.25830644006768927,2.3989526232884115
4,0.0002382421023508475,0.06882049874977914,0.022007217523832407,1.1188463289044816e-5,1.6320533449218397,0.06882049874977914,1.637096599419407
5,1.0442274066854768e-5,0.01804551044612812,0.01547638236275218,2.7312028357000354e-7,1.6152216444379655,0.01804551044612812,1.6215902142230587
6,5.328608828931669e-7,0.0047770057587278765,0.010691888271057296,6.466647688573303e-9,1.4172309458363233,0.0047770057587278765,1.4377390170504476
7,2.5322660590258802e-8,0.001290173701511515,0.00747438491262779,1.5652595079492652e-10,0.6920024119457346,0.001290173701511515,1.2306591042632573
8,1.2970933023973255e-9,0.00034012188641782324,0.005020782109214093,3.747519890133431e-12,0.25491658116916266,0.00034012188641782324,0.9921786472216907
9,6.264648989504435e-11,9.219256173639804e-5,0.0036164144339963836,9.050072671617559e-14,0.1309715615897922,9.219256173639804e-5,0.3818526906594681
10,3.1006795311826744e-12,2.427876988637024e-5,0.0027109139751996083,3.5379271680667125e-15,0.03906611640024699,2.427876988637024e-5,0.19963167684204228
11,1.351613784129128e-13,6.595857191428435e-6,0.002015368326384069,2.755550892011894e-15,0.009332686205623438,6.595857191428435e-6,0.06207109930214879
12,7.287238135825526e-15,1.7289989913665467e-6,0.0014639662463432448,,0.0020432846810001927,1.7289989913665467e-6,0.02256227334493039
13,3.1801822288330518e-15,4.754221707025407e-7,0.0010991631895078211,,0.0011777927367915737,4.754221707025407e-7,0.022138070068065313
14,3.167560346055589e-15,1.2580496305687094e-7,0.0009065794816930459,,0.0009263747572404107,1.2580496305687094e-7,0.008813957940886505
15,3.167526943014634e-15,3.36116412948835e-8,0.0007982449762230035,,0.0001861580411306335,3.36116412948835e-8,0.004005205069738003
