Iteration,GMRES+ILU0,BiCGSTAB,GMRES,CG,BiCGSTAB+ILU0
1,0.836447253914558,0.022352989221605588,0.10210387428038034,0.10396159353782014,1.4701256851810182e-5
2,0.019652042650166648,0.00561495102219324,0.05252056315473205,0.061356379048068316,6.769584062758388e-11
3,0.00046854036729602973,0.0019264823091045536,0.031243360684282056,0.03905493121257208,3.899698318322064e-18
4,1.1188463289044816e-5,0.0008697365424043571,0.022007217523832407,0.031121151285619694,
5,2.7312028357000354e-7,0.0006050226385035095,0.01547638236275218,0.02190722990797949,
6,6.466647688573303e-9,0.000401123336722507,0.010691888271057296,0.014959045150030291,
7,1.5652595079492652e-10,0.00018704009589677636,0.00747438491262779,0.010663594133263574,
8,3.747519890133431e-12,6.597574275310803e-5,0.005020782109214093,0.006983580377661171,
9,9.050072671617559e-14,1.691842467565781e-5,0.0036164144339963836,0.0053843087256153985,
10,3.5379271680667125e-15,4.0047587491623884e-6,0.0027109139751996083,0.00427004097012118,
11,2.755550892011894e-15,1.0769188016110116e-6,0.002015368326384069,0.0032524400064331415,
12,,2.4880331233223105e-7,0.0014639662463432448,0.0023119032058734044,
13,,6.431130461338705e-8,0.0010991631895078211,0.0018810226061227783,
14,,1.492312710482498e-8,0.0009065794816930459,0.00176037840742419,
15,,4.118219884323145e-9,0.0007982449762230035,0.0017601233712082915,
16,,1.1565061803513862e-9,0.0007293209166292955,0.00185988974743367,
17,,3.050382040915646e-10,0.0006463612445821184,0.0016711580888280966,
18,,7.703146513128781e-11,0.0005472748991507036,0.001233109917145423,
19,,1.9958728547849705e-11,0.00047779906587720755,0.0012339691653044246,
20,,3.768653219633367e-12,0.00040310837262978803,0.0010863282576015964,
21,,8.526270925578811e-13,0.0003630704669162253,0.0009470499041707131,
22,,1.393459411610624e-13,0.0003166525669858051,0.0007732157264554653,
23,,2.6208217987022034e-14,0.000271537722880003,0.0005319369464837033,
24,,5.170261392158461e-15,0.00023529080760680544,0.00046520103600868176,
25,,3.8934197033650748e-16,0.00021249431683562417,0.000363887448624311,
26,,3.135669769711181e-17,0.00018461868005687559,0.00033062328163667703,
27,,,0.00015671387864832505,0.00031668528885278065,
28,,,0.00012325505887739697,0.0002690825534305219,
29,,,0.00010104290846848155,0.00022782152572612324,
30,,,7.727502907079813e-5,0.00020325935096223753,
31,,,5.555698424171215e-5,0.000189051042816412,
32,,,3.5157413887381496e-5,0.00017894972193799568,
33,,,2.420673772189371e-5,0.00018655061535309973,
34,,,1.843196665789598e-5,0.0001924454616254602,
35,,,1.3296024355675308e-5,0.00017766619084298255,
36,,,8.612878851286652e-6,0.00016327765526502743,
37,,,5.0053543321962324e-6,0.00015411498675632954,
38,,,3.031875822974428e-6,0.0001479955063076888,
39,,,2.1296584231537007e-6,0.00014285441944151287,
40,,,1.2595303657985078e-6,0.00014447618657981347,
41,,,9.562456531193196e-7,0.00015234930314396964,
42,,,7.006176877647359e-7,0.00015301793986058313,
43,,,4.872128845774259e-7,0.00014702400971471684,
44,,,3.2148986059167864e-7,0.00014298138606393167,
