method,h,lp_norm,inside_cells,inside_cells_by_dim,all_err,full_err,cut_err,empty_err
FrontTracking,1.0,L^2,1,"[2, 2]",0.26139897900834813,0.034278861286391654,0.2591416328873366,0.0
FrontTracking,0.5,L^2,5,"[4, 4]",0.03502896678787646,0.028201599533576188,0.020777350600448257,0.0
FrontTracking,0.25,L^2,37,"[8, 8]",0.008431307926817986,0.007900371301890674,0.002944670889774625,0.0
FrontTracking,0.125,L^2,177,"[16, 16]",0.002375331031620395,0.0022728488435643916,0.0006901852244773261,0.0
FrontTracking,0.0625,L^2,749,"[32, 32]",0.0007055924342628195,0.0005202740589423042,0.0004766294020312121,0.0
FrontTracking,0.03125,L^2,3101,"[64, 64]",0.00018695932557872397,0.00014102527823754935,0.00012274225156348167,0.0
ImplicitIntegration,1.0,L^2,1,"[2, 2]",0.26139068418512884,0.03426849940237946,0.2591346362944924,0.0
ImplicitIntegration,0.5,L^2,5,"[4, 4]",0.035052526401572213,0.02821951166549505,0.020792757597151608,0.0
ImplicitIntegration,0.25,L^2,37,"[8, 8]",0.008448428288476938,0.007923359588309878,0.0029319470288317385,0.0
ImplicitIntegration,0.125,L^2,177,"[16, 16]",0.0023965678276799407,0.0022972947280851816,0.0006826230914513376,0.0
ImplicitIntegration,0.0625,L^2,749,"[32, 32]",0.0007146787676378547,0.0005354517538551761,0.0004733467652850063,0.0
ImplicitIntegration,0.03125,L^2,3101,"[64, 64]",0.00018958400831563835,0.00014491938955190703,0.00012223120199411682,0.0
