method,h,lp_norm,inside_cells,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,pair_order_all,pair_order_full,pair_order_cut,k_min,k_max,k_ratio,eps,r0,mean,k_mode,m
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004259249073411048,0.004153811836146036,0.000941833265098428,0.0,NaN,NaN,NaN,1.0,1.0,1.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0017275055412680892,0.0017068638779222007,0.00026625382129904135,0.0,1.3019087603183943,1.283087856613722,1.8226694476556282,1.0,1.0,1.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0006738750350480405,0.0006700142482218737,7.20310352603295e-5,0.0,1.3581373537077295,1.3490843275775741,1.886111686606461,1.0,1.0,1.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00025730734362482165,0.00025649330275891294,2.0451276808229046e-5,0.0,1.3889884469041345,1.385270619174659,1.816427723557885,1.0,1.0,1.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004259249073411048,0.004153811836146036,0.000941833265098428,0.0,NaN,NaN,NaN,1.0,1.0,1.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0017275055412680892,0.0017068638779222007,0.00026625382129904135,0.0,1.3019087603183943,1.283087856613722,1.8226694476556282,1.0,1.0,1.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0006738750350480405,0.0006700142482218737,7.20310352603295e-5,0.0,1.3581373537077295,1.3490843275775741,1.886111686606461,1.0,1.0,1.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00025730734362482165,0.00025649330275891294,2.0451276808229046e-5,0.0,1.3889884469041345,1.385270619174659,1.816427723557885,1.0,1.0,1.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004607727237216436,0.004510420055198245,0.0009419454433520435,0.0,NaN,NaN,NaN,1.0,10.0,10.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0018495382139570324,0.00183026860983207,0.00026628635104103794,0.0,1.3168902075568285,1.3012064041907143,1.8226650199753085,1.0,10.0,10.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.00071519238976636,0.0007115552034662877,7.203712098471793e-5,0.0,1.3707618185405581,1.3630078011223257,1.8861660534948024,1.0,10.0,10.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.0002711339814277402,0.0002703615280173355,2.045189607321613e-5,0.0,1.3993254465722107,1.3960858142398114,1.8165059239849515,1.0,10.0,10.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.0046319103151816685,0.004535114234293063,0.0009419830411418293,0.0,NaN,NaN,NaN,1.0,10.0,10.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.001856173877954151,0.0018369731579813912,0.00026629134806678567,0.0,1.3192754576577252,1.3038083452220612,1.822695531257822,1.0,10.0,10.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.000716848197843558,0.0007132193956111206,7.203771564717511e-5,0.0,1.3725923154396693,1.3649127039012494,1.886181216974154,1.0,10.0,10.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.0002715345521689254,0.00027076323765627263,2.045194747382002e-5,0.0,1.4005318519229266,1.3973140636584611,1.8165142074637055,1.0,10.0,10.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004734280803884749,0.004639625802587909,0.0009419592039956474,0.0,NaN,NaN,NaN,1.0,100.0,100.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0018905270093009909,0.0018716787330700878,0.0002662913687480387,0.0,1.3243568182711039,1.3096756303343569,1.8226589109460514,1.0,100.0,100.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0007285079714123526,0.0007249374971851321,7.203811204006512e-5,0.0,1.375771797141348,1.3684043037360534,1.8861733905046683,1.0,100.0,100.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00027548782550267933,0.0002747276063241003,2.0452000479781474e-5,0.0,1.4029561946037812,1.3998547253097726,1.8165184069049787,1.0,100.0,100.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004732658187537578,0.004637959157757778,0.0009420129357059033,0.0,NaN,NaN,NaN,1.0,100.0,100.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0018915006553071765,0.0018726611567939986,0.0002662985558774958,0.0,1.3231194521337624,1.3084002365983656,1.822702266124856,1.0,100.0,100.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0007288938256602059,0.0007253251659857725,7.203896635350537e-5,0.0,1.3757506914515414,1.3683900681106038,1.8861952188254927,1.0,100.0,100.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.0002755979503491553,0.000274838030294067,2.0452074240354634e-5,0.0,1.4031435210345722,1.4000462570302052,1.8165303128929147,1.0,100.0,100.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004784758124987892,0.004691121466264454,0.0009419605636068421,0.0,NaN,NaN,NaN,1.0,1000.0,1000.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0019050251784723565,0.001886321693809331,0.000266291941443846,0.0,1.328635930906164,1.3143571221343977,1.8226578906025155,1.0,1000.0,1000.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0007328000757791016,0.0007292506047811576,7.20382293520075e-5,0.0,1.3783185080220182,1.3710891519050517,1.8861741438287982,1.0,1000.0,1000.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.0002768007572868846,0.00027604415298399773,2.0452013053484526e-5,0.0,1.4045717626391896,1.4015156345003255,1.8165198693339624,1.0,1000.0,1000.0,0.05,0.25,harmonic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004752678430876548,0.004658385731414003,0.0009420162656120015,0.0,NaN,NaN,NaN,1.0,1000.0,1000.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.001898679869288104,0.0018799121978242462,0.00026629940764392654,0.0,1.323744113802666,1.309164823200722,1.8227027513653224,1.0,1000.0,1000.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0007314629314104677,0.000727906852308834,7.203911707843144e-5,0.0,1.3761400181188075,1.3688395310167307,1.8861968148315313,1.0,1000.0,1000.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00027650572066829237,0.0002757483011539607,2.0452089697543037e-5,0.0,1.403475425378608,1.4004018479972544,1.8165322410424838,1.0,1000.0,1000.0,0.05,0.25,arithmetic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004259249073411048,0.004153811836146036,0.000941833265098428,0.0,NaN,NaN,NaN,1.0,1.0,1.0,0.025,0.25,harmonic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0017275055412680892,0.0017068638779222007,0.00026625382129904135,0.0,1.3019087603183943,1.283087856613722,1.8226694476556282,1.0,1.0,1.0,0.025,0.25,harmonic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0006738750350480405,0.0006700142482218737,7.20310352603295e-5,0.0,1.3581373537077295,1.3490843275775741,1.886111686606461,1.0,1.0,1.0,0.025,0.25,harmonic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00025730734362482165,0.00025649330275891294,2.0451276808229046e-5,0.0,1.3889884469041345,1.385270619174659,1.816427723557885,1.0,1.0,1.0,0.025,0.25,harmonic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004259249073411048,0.004153811836146036,0.000941833265098428,0.0,NaN,NaN,NaN,1.0,1.0,1.0,0.025,0.25,arithmetic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0017275055412680892,0.0017068638779222007,0.00026625382129904135,0.0,1.3019087603183943,1.283087856613722,1.8226694476556282,1.0,1.0,1.0,0.025,0.25,arithmetic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0006738750350480405,0.0006700142482218737,7.20310352603295e-5,0.0,1.3581373537077295,1.3490843275775741,1.886111686606461,1.0,1.0,1.0,0.025,0.25,arithmetic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00025730734362482165,0.00025649330275891294,2.0451276808229046e-5,0.0,1.3889884469041345,1.385270619174659,1.816427723557885,1.0,1.0,1.0,0.025,0.25,arithmetic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004604889997851013,0.004507526494695117,0.0009419218608408251,0.0,NaN,NaN,NaN,1.0,10.0,10.0,0.025,0.25,harmonic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0018472599047983835,0.0018279668199628208,0.0002662826712175368,0.0,1.3177798293147729,1.302096087875963,1.822648837071365,1.0,10.0,10.0,0.025,0.25,harmonic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0007145718555291806,0.0007109315493030293,7.20365804297409e-5,0.0,1.370235866672194,1.362457319307315,1.8861569424793234,1.0,10.0,10.0,0.025,0.25,harmonic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.0002709937353754834,0.0002702208845255413,2.0451850258394332e-5,0.0,1.3988195915098283,1.3955714790211944,1.8164983300147632,1.0,10.0,10.0,0.025,0.25,harmonic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004635683052391751,0.004538965252821735,0.0009419935222224347,0.0,NaN,NaN,NaN,1.0,10.0,10.0,0.025,0.25,arithmetic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0018563848230565042,0.0018371861361115643,0.00026629253191554433,0.0,1.3202861229403786,1.304865642285386,1.8227051697171655,1.0,10.0,10.0,0.025,0.25,arithmetic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.000716898653469413,0.0007132701029334981,7.203776514783087e-5,0.0,1.3726547203232577,1.3649773930869769,1.8861866393883369,1.0,10.0,10.0,0.025,0.25,arithmetic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00027156051563641004,0.0002707892746712821,2.0451952858199032e-5,0.0,1.4004954526096247,1.3972779052836621,1.8165148189921432,1.0,10.0,10.0,0.025,0.25,arithmetic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004793359906108609,0.0046999018551593195,0.0009419244881409055,0.0,NaN,NaN,NaN,1.0,100.0,100.0,0.025,0.25,harmonic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0019010151169137105,0.0018822726184864846,0.00026628605752176347,0.0,1.334267263407163,1.3201550347124962,1.8226345146026623,1.0,100.0,100.0,0.025,0.25,harmonic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0007306033239770376,0.0007270432122500343,7.203738284701416e-5,0.0,1.379609781813984,1.3723625763248966,1.8861592189210776,1.0,100.0,100.0,0.025,0.25,harmonic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00027595120797511833,0.00027519227336478345,2.0451940329694882e-5,0.0,1.4046751165137135,1.4016011504033024,1.816508046431106,1.0,100.0,100.0,0.025,0.25,harmonic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004713868408172189,0.004618782406576039,0.0009420214701733018,0.0,NaN,NaN,NaN,1.0,100.0,100.0,0.025,0.25,arithmetic,variable,2
